Dependency metrics,Sex, 6 out 2017 19:07:04 BRT
Class,Cyclic,Dcy,Dcy*,Dpt,Dpt*
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.editors.resources.uimodel",4,1
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.editors.ui",6,7
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.editors.ui.tree",7,4
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.editors.uimodel",18,31
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.editors.xml",24,3
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.editors.xml.descriptors",5,3
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.launch",14,5
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.launch.junit",8,0
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.launch.junit.runtime",4,1
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.preferences",9,17
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.project",16,26
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.properties",6,0
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.refactoring.changes",5,1
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.refactoring.core",7,1
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.refactorings.extractstring",13,2
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.refactorings.renamepackage",5,0
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.resources",17,11
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.resources.manager",14,16
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.sdk",25,38
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.sourcelookup",2,0
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.ui",14,8
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.wizards.actions",6,1
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.wizards.export",6,2
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.wizards.newproject",13,5
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.wizards.newxmlfile",17,5
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.io",1,8
"eclipse.plugins.com.android.ide.eclipse.adt.templates",0,0
"eclipse.plugins.com.android.ide.eclipse.ddms",0,0
"eclipse.plugins.com.android.ide.eclipse.ddms..settings",0,0
"eclipse.plugins.com.android.ide.eclipse.ddms.META-INF",0,0
"eclipse.plugins.com.android.ide.eclipse.ddms.libs",0,0
"eclipse.plugins.com.android.ide.eclipse.ddms.schema",0,0
"eclipse.plugins.com.android.ide.eclipse.ddms.src.com.android.ide.eclipse.ddms",6,8
"eclipse.plugins.com.android.ide.eclipse.ddms.src.com.android.ide.eclipse.ddms.i18n",0,3
"eclipse.plugins.com.android.ide.eclipse.ddms.src.com.android.ide.eclipse.ddms.preferences",6,2
"eclipse.plugins.com.android.ide.eclipse.ddms.src.com.android.ide.eclipse.ddms.views",10,2
"eclipse.plugins.com.android.ide.eclipse.hierarchyviewer",0,0
"eclipse.plugins.com.android.ide.eclipse.hierarchyviewer..settings",0,0
"eclipse.plugins.com.android.ide.eclipse.hierarchyviewer.META-INF",0,0
"eclipse.plugins.com.android.ide.eclipse.hierarchyviewer.libs",0,0
"eclipse.plugins.com.android.ide.eclipse.hierarchyviewer.src.com.android.ide.eclipse.hierarchyviewer",5,1
"eclipse.plugins.com.android.ide.eclipse.hierarchyviewer.src.com.android.ide.eclipse.hierarchyviewer.views",6,1
"eclipse.plugins.com.android.ide.eclipse.pdt",0,0
"eclipse.plugins.com.android.ide.eclipse.pdt..settings",0,0
"eclipse.plugins.com.android.ide.eclipse.pdt.META-INF",0,0
"eclipse.plugins.com.android.ide.eclipse.pdt.src.com.android.ide.eclipse.pdt",2,2
"eclipse.plugins.com.android.ide.eclipse.pdt.src.com.android.ide.eclipse.pdt.internal",2,0
"eclipse.plugins.com.android.ide.eclipse.pdt.src.com.android.ide.eclipse.pdt.internal.preferences",1,1
"eclipse.plugins.com.android.ide.eclipse.tests",0,0
"eclipse.plugins.com.android.ide.eclipse.tests..settings",0,0
"eclipse.plugins.com.android.ide.eclipse.tests.META-INF",0,0
"eclipse.plugins.com.android.ide.eclipse.tests.not_source_folder.jar.example",0,0
"eclipse.plugins.com.android.ide.eclipse.tests.src.com.android.ide.eclipse.adt.internal.build",5,0
"eclipse.plugins.com.android.ide.eclipse.tests.src.com.android.ide.eclipse.adt.internal.editors",10,0
"eclipse.plugins.com.android.ide.eclipse.tests.src.com.android.ide.eclipse.adt.internal.editors.formatting",2,0
"eclipse.plugins.com.android.ide.eclipse.tests.src.com.android.ide.eclipse.adt.internal.editors.layout.gle2",6,0
"eclipse.plugins.com.android.ide.eclipse.tests.src.com.android.ide.eclipse.adt.internal.editors.layout.refactoring",17,5
"eclipse.plugins.com.android.ide.eclipse.tests.src.com.android.ide.eclipse.adt.internal.editors.layout.refactoring.testdata",0,0
"eclipse.plugins.com.android.ide.eclipse.tests.src.com.android.ide.eclipse.adt.internal.editors.manifest",4,0
"eclipse.plugins.com.android.ide.eclipse.tests.src.com.android.ide.eclipse.adt.internal.editors.xml",6,0
"eclipse.plugins.com.android.ide.eclipse.tests.src.com.android.ide.eclipse.adt.internal.launch",1,0
"eclipse.plugins.com.android.ide.eclipse.tests.src.com.android.ide.eclipse.adt.internal.sdk",0,0
"eclipse.plugins.com.android.ide.eclipse.tests.src.com.android.ide.eclipse.adt.wizards.newproject",2,1
"eclipse.plugins.com.android.ide.eclipse.tests.src.com.android.ide.eclipse.tests",6,5
"eclipse.plugins.com.android.ide.eclipse.tests.src.com.android.ide.eclipse.tests.functests.layoutRendering",13,1
"eclipse.plugins.com.android.ide.eclipse.tests.src.com.android.ide.eclipse.tests.functests.sampleProjects",6,0
"eclipse.plugins.com.android.ide.eclipse.tests.unittests.com.android.ide.common.api",1,0
"eclipse.plugins.com.android.ide.eclipse.tests.unittests.com.android.ide.common.layout",4,1
"eclipse.plugins.com.android.ide.eclipse.tests.unittests.com.android.ide.common.layout.grid",3,0
"eclipse.plugins.com.android.ide.eclipse.tests.unittests.com.android.ide.common.resources.platform",3,0
"eclipse.plugins.com.android.ide.eclipse.tests.unittests.com.android.ide.eclipse.adt",0,0
"eclipse.plugins.com.android.ide.eclipse.tests.unittests.com.android.ide.eclipse.adt.internal.build",0,0
"eclipse.plugins.com.android.ide.eclipse.tests.unittests.com.android.ide.eclipse.adt.internal.editors.descriptors",2,0
"eclipse.plugins.com.android.ide.eclipse.tests.unittests.com.android.ide.eclipse.adt.internal.editors.layout",7,0
"eclipse.plugins.com.android.ide.eclipse.tests.unittests.com.android.ide.eclipse.adt.internal.editors.layout.gle2",8,0
"eclipse.plugins.com.android.ide.eclipse.tests.unittests.com.android.ide.eclipse.adt.internal.editors.layout.gre",7,0
"eclipse.plugins.com.android.ide.eclipse.tests.unittests.com.android.ide.eclipse.adt.internal.editors.manifest.model",4,0
"eclipse.plugins.com.android.ide.eclipse.tests.unittests.com.android.ide.eclipse.adt.internal.editors.mock",0,2
"eclipse.plugins.com.android.ide.eclipse.tests.unittests.com.android.ide.eclipse.adt.internal.editors.resources.manager",6,0
"eclipse.plugins.com.android.ide.eclipse.tests.unittests.com.android.ide.eclipse.adt.internal.project",1,0
"eclipse.plugins.com.android.ide.eclipse.tests.unittests.com.android.ide.eclipse.adt.internal.resources",3,0
"eclipse.plugins.com.android.ide.eclipse.tests.unittests.com.android.ide.eclipse.adt.internal.sdk",4,0
"eclipse.plugins.com.android.ide.eclipse.tests.unittests.com.android.ide.eclipse.mock",1,4
"eclipse.plugins.com.android.ide.eclipse.tests.unittests.com.android.ide.eclipse.testdata",0,0
"eclipse.plugins.com.android.ide.eclipse.tests.unittests.mock_android.view",0,1
"eclipse.plugins.com.android.ide.eclipse.tests.unittests.mock_android.widget",1,0
"eclipse.plugins.com.android.ide.eclipse.traceview",0,0
"eclipse.plugins.com.android.ide.eclipse.traceview..settings",0,0
"eclipse.plugins.com.android.ide.eclipse.traceview.META-INF",0,0
"eclipse.plugins.com.android.ide.eclipse.traceview.libs",0,0
"eclipse.plugins.com.android.ide.eclipse.traceview.src.com.android.ide.eclipse.traceview",1,1
"eclipse.plugins.com.android.ide.eclipse.traceview.src.com.android.ide.eclipse.traceview.editors",2,0
"eclipse.scripts",0,0
"eclipse.sites.external",0,0
"eclipse.sites.external.web",0,0
"eclipse.sites.internal",0,0
"eclipse.sites.internal.web",0,0
"emulator.gps",0,0
"emulator.mksdcard",0,0
"emulator.qemud",0,0
"emulator.qtools",0,0
"emulator.qtools.tests",0,0
"emulator.qtools.tests.gtrace",0,0
"emulator.sensors",0,0
"emulator.tests",0,0
"emulator.tools",0,0
"eventanalyzer",0,0
"eventanalyzer.etc",0,0
"eventanalyzer.src",0,0
"eventanalyzer.src.com.android.eventanalyzer",2,0
"files",0,0
"files.ant",0,0
"files.proguard.bin",0,0
"hierarchyviewer",0,0
"hierarchyviewer.etc",0,0
"hierarchyviewer.src",0,0
"hierarchyviewer.src.com.android.hierarchyviewer",2,0
"hierarchyviewer.src.com.android.hierarchyviewer.device",2,4
"hierarchyviewer.src.com.android.hierarchyviewer.laf",0,1
"hierarchyviewer.src.com.android.hierarchyviewer.scene",3,3
"hierarchyviewer.src.com.android.hierarchyviewer.ui",8,2
"hierarchyviewer.src.com.android.hierarchyviewer.ui.action",2,1
"hierarchyviewer.src.com.android.hierarchyviewer.ui.model",1,1
"hierarchyviewer.src.com.android.hierarchyviewer.ui.util",0,2
"hierarchyviewer.src.com.android.hierarchyviewer.util",0,1
"hierarchyviewer2",0,0
"hierarchyviewer2.app",0,0
"hierarchyviewer2.app.etc",0,0
"hierarchyviewer2.app.src.com.android.hierarchyviewer",11,1
"hierarchyviewer2.app.src.com.android.hierarchyviewer.actions",5,1
"hierarchyviewer2.app.src.com.android.hierarchyviewer.util",1,1
"hierarchyviewer2.libs",0,0
"hierarchyviewer2.libs.hierarchyviewerlib",0,0
"hierarchyviewer2.libs.hierarchyviewerlib.src",0,0
"hierarchyviewer2.libs.hierarchyviewerlib.src.com.android.hierarchyviewerlib",5,6
"hierarchyviewer2.libs.hierarchyviewerlib.src.com.android.hierarchyviewerlib.actions",5,4
"hierarchyviewer2.libs.hierarchyviewerlib.src.com.android.hierarchyviewerlib.device",2,9
"hierarchyviewer2.libs.hierarchyviewerlib.src.com.android.hierarchyviewerlib.models",3,6
"hierarchyviewer2.libs.hierarchyviewerlib.src.com.android.hierarchyviewerlib.ui",6,3
"hierarchyviewer2.libs.hierarchyviewerlib.src.com.android.hierarchyviewerlib.ui.util",1,4
"ide_common",0,0
"ide_common..settings",0,0
"ide_common.src.com.android.ide.common.log",0,6
"ide_common.src.com.android.ide.common.rendering",6,5
"ide_common.src.com.android.ide.common.rendering.legacy",4,1
"ide_common.src.com.android.ide.common.resources",8,22
"ide_common.src.com.android.ide.common.resources.configuration",2,15
"ide_common.src.com.android.ide.common.sdk",0,10
"ide_common.tests",0,0
"ide_common.tests.src.com.android.ide.common.resources.configuration",1,0
"layoutlib_api",0,0
"layoutlib_api..settings",0,0
"layoutlib_api.sample",0,0
"layoutlib_api.sample.src.com.example.android.render",11,0
"layoutlib_api.sample.testproject",0,0
"layoutlib_api.sample.testproject.res.layout",0,0
"layoutlib_api.sample.testproject.res.values",0,0
"layoutlib_api.sample.testproject.src.com.example.layoutlib.testproject",0,0
"layoutlib_api.src.com.android.ide.common.rendering.api",3,15
"layoutlib_api.src.com.android.layoutlib.api",0,8
"layoutopt",0,0
"layoutopt.app",0,0
"layoutopt.app.etc",0,0
"layoutopt.app.src",0,0
"layoutopt.app.src.com.android.layoutopt.cli",1,0
"layoutopt.libs",0,0
"layoutopt.libs.uix",0,0
"layoutopt.libs.uix.src",0,0
"layoutopt.libs.uix.src.com.android.layoutopt.uix",4,3
"layoutopt.libs.uix.src.com.android.layoutopt.uix.groovy",2,2
"layoutopt.libs.uix.src.com.android.layoutopt.uix.rules",2,1
"layoutopt.libs.uix.src.com.android.layoutopt.uix.util",0,1
"layoutopt.libs.uix.src.com.android.layoutopt.uix.xml",0,2
"layoutopt.libs.uix.src.resources.rules",0,0
"layoutopt.samples",0,0
"monkeyrunner",0,0
"monkeyrunner.etc",0,0
"monkeyrunner.jython.test",0,0
"monkeyrunner.scripts",0,0
"monkeyrunner.src",0,0
"monkeyrunner.src.com.android.monkeyrunner",4,3
"monkeyrunner.src.com.android.monkeyrunner.controller",2,0
"monkeyrunner.src.com.android.monkeyrunner.doc",0,1
"monkeyrunner.src.com.android.monkeyrunner.easy",4,0
"monkeyrunner.src.com.android.monkeyrunner.recorder",4,0
"monkeyrunner.src.com.android.monkeyrunner.recorder.actions",2,1
"monkeyrunner.src.resources.com.android.monkeyrunner",0,0
"monkeyrunner.test",0,0
"monkeyrunner.test.com.android.monkeyrunner",0,0
"monkeyrunner.test.resources.com.android.monkeyrunner.adb",0,0
"ninepatch",0,0
"ninepatch.src.com.android.ninepatch",0,0
"ninepatch.tests",0,0
"ninepatch.tests.src.com.android.ninepatch",0,0
"rule_api",0,0
"rule_api..settings",0,0
"rule_api.src.com.android.ide.common.api",1,22
"screenshot",0,0
"screenshot.etc",0,0
"screenshot.src",0,0
"screenshot.src.com.android.screenshot",1,0
"sdklauncher",0,0
"sdklauncher.app",0,0
"sdklauncher.app.etc",0,0
"sdklauncher.app.src.com.android.sdklauncher",0,0
"sdklauncher.app.tests.com.android.sdklauncher",0,0
"sdklauncher.images",0,0
"sdkmanager",0,0
"sdkmanager.app",0,0
"sdkmanager.app..settings",0,0
"sdkmanager.app.etc",0,0
"sdkmanager.app.src.com.android.sdkmanager",14,0
"sdkmanager.app.src.com.android.sdkmanager.internal.repository",4,1
"sdkmanager.app.tests",0,0
"sdkmanager.app.tests.com.android.sdkmanager",8,0
"sdkmanager.libs",0,0
"sdkmanager.libs.sdklib",0,0
"sdkmanager.libs.sdklib..settings",0,0
"sdkmanager.libs.sdklib.src.com.android.sdklib",7,78
"sdkmanager.libs.sdklib.src.com.android.sdklib.build",2,4
"sdkmanager.libs.sdklib.src.com.android.sdklib.internal.avd",5,8
"sdkmanager.libs.sdklib.src.com.android.sdklib.internal.build",1,6
"sdkmanager.libs.sdklib.src.com.android.sdklib.internal.export",5,0
"sdkmanager.libs.sdklib.src.com.android.sdklib.internal.project",4,13
"sdkmanager.libs.sdklib.src.com.android.sdklib.internal.repository",6,11
"sdkmanager.libs.sdklib.src.com.android.sdklib.io",1,2
"sdkmanager.libs.sdklib.src.com.android.sdklib.repository",0,6
"sdkmanager.libs.sdklib.src.com.android.sdklib.util",0,3
"sdkmanager.libs.sdklib.src.com.android.sdklib.xml",3,24
"sdkmanager.libs.sdklib.tests",0,0
"sdkmanager.libs.sdklib.tests.src.com.android.sdklib.internal.build",1,0
"sdkmanager.libs.sdklib.tests.src.com.android.sdklib.internal.repository",4,2
"sdkmanager.libs.sdklib.tests.src.com.android.sdklib.mock",1,2
"sdkmanager.libs.sdklib.tests.src.com.android.sdklib.repository",0,0
"sdkmanager.libs.sdklib.tests.src.com.android.sdklib.testdata",0,0
"sdkmanager.libs.sdklib.tests.src.com.android.sdklib.xml",2,0
"sdkmanager.libs.sdkuilib",0,0
"sdkmanager.libs.sdkuilib..settings",0,0
"sdkmanager.libs.sdkuilib.src.com.android.sdkuilib.internal.repository",13,6
"sdkmanager.libs.sdkuilib.src.com.android.sdkuilib.internal.repository.icons",2,5
"sdkmanager.libs.sdkuilib.src.com.android.sdkuilib.internal.repository.sdkman1",10,4
"sdkmanager.libs.sdkuilib.src.com.android.sdkuilib.internal.repository.sdkman2",10,3
"sdkmanager.libs.sdkuilib.src.com.android.sdkuilib.internal.tasks",4,3
"sdkmanager.libs.sdkuilib.src.com.android.sdkuilib.internal.widgets",12,8
"sdkmanager.libs.sdkuilib.src.com.android.sdkuilib.repository",4,6
"sdkmanager.libs.sdkuilib.src.com.android.sdkuilib.ui",1,6
"sdkmanager.libs.sdkuilib.tests",0,0
"sdkmanager.libs.sdkuilib.tests.com.android.sdkuilib.internal.repository",6,1
"sdkmanager.libs.sdkuilib.tests.com.android.sdkuilib.internal.repository.sdkman2",3,0
"sdkstats",0,0
"sdkstats.src",0,0
"sdkstats.src.com.android.sdkstats",1,4
"swtmenubar",0,0
"swtmenubar.src-darwin.com.android.menubar.internal",1,0
"swtmenubar.src.com.android.menubar",0,4
"templates",0,0
"traceview",0,0
"traceview.etc",0,0
"traceview.src",0,0
"traceview.src.com.android.traceview",1,1

